编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
1	软件测试技术与工具	软件工程教研室		2.5	33	17	王磊	"4-11,4-10"	"?10708,50304"	"教一楼二区305,教一楼二区104"	选修	专业任选课程
2	锅炉与锅炉房设计	暖通教研室		2.5	70	20	刘冬华	"5-13,5-13"	"?40102,20102"	"教三楼309（黄家湖）,教三楼309（黄家湖）"	选修	专业方向课程1
3	当代建筑作品解析	城市建设学院		1.5	70	20	 周乐	"13-18,13-18"	"?50102,30102"	"教三楼109（黄家湖）,教三楼109（黄家湖）"	选修	专业任选课程
4	环境卫生学	医学院		3	67	67	陈丹	"11-12,1-5,7-12,1-5,7-12,11-12,1-5,7-12,1-5,7-12"	"?50304,30506,20506,50304,30506,20506"	"教一楼一区101,教一楼一区101,教一楼一区101,教一楼一区101,教一楼一区101,教一楼一区101"	选修	专业方向课程1
5	数据库技术	自动化系		3	146	4	尉宇	"1-7,1-7"	"?40304,20102"	"教一楼一区210,教一楼三区105"	选修	专业任选课程
6	信息检索与利用	图书馆		1	94	46	卢颖婷	2月9日	?50506	教三楼206（黄家湖）	选修	专业任选课程
7	微分方程	信息与计算科学系		2.5	117	3	杨芬	"1-10,1-10"	"?40102,20102"	"教一楼三区206,教一楼一区504"	选修	学科基础平台课程
8	概率论与数理统计	信息与计算科学系		3	112	8	李春丽	"7-18,7-18"	"?30304,50304"	"教一楼一区204,教一楼一区204"	选修	学科基础平台课程
9	信息资源管理	信息管理系		3	44	46	严亚兰	"1-12,1-12"	"?10304,40708"	"教三楼210（黄家湖）,教三楼210（黄家湖）"	选修	专业方向课程1
10	简明医学史	医学院		1	63	37	袁修学	"13-16,13-16"	"?20708,40304"	"教一楼一区104,教一楼一区104"	选修	学科基础平台课程
11	复变函数与积分变换	信息与计算科学系		3	162	-1	喻敏	"1-12,1-12"	"?20506,40506"	"教一楼三区205,教一楼三区205"	选修	学科基础平台课程
12	线性代数	信息与计算科学系		2	113	21	张婷	"1-8,1-8"	"?20102,40102"	"教一楼一区303,教一楼一区303"	选修	学科基础平台课程
13	公众救护	内科学教研室		1	31	69	刘效锋	"3-5,3-4"	"?20708,40506"	"教一楼一区104,教一楼一区104"	选修	专业任选课程
